;;;Total;C1: Security Apparatus;C2: Factionalized Elites;C3: Group Grievance;E1: Economy;E2: Economic Inequality;E3: Human Flight and Brain Drain;P1: State Legitimacy;P2: Public Services;P3: Human Rights;S1: Demographic Pressures;S2: Refugees and IDPs;X1: External Intervention
Sweden;168th;168th;20.6;1.8;1.8;2.8;1.6;2.4;0.6;0.6;0.9;1.8;2.7;3.4;0.2
Australia;169th;169th;19.6;1.8;1.7;2.6;1.3;2.9;0.3;0.3;1.7;1.9;3.5;1.4;0.2
Netherlands;170th;170th;19.5;1.5;3.4;2.7;1.7;2.0;1.8;0.2;0.9;0.5;2.2;2.4;0.2
Luxembourg;171st;171st;18.7;0.3;3.4;1.2;2.7;2.1;1.6;0.2;1.4;1.0;2.1;2.5;0.2
Canada;172nd;172nd;18.6;2.4;2.5;1.7;1.3;2.5;0.7;0.3;1.4;1.9;1.4;2.3;0.2
Ireland;172nd;172nd;18.6;1.8;1.5;0.3;1.4;2.1;2.4;0.3;2.0;1.5;2.5;2.1;0.7
Switzerland;174th;174th;16.2;1.1;1.0;1.8;1.3;2.6;0.9;0.2;1.3;0.3;2.1;3.4;0.2
Denmark;175th;175th;15.9;0.8;1.4;2.8;0.7;2.0;0.8;0.2;1.4;0.3;2.0;2.6;0.9
New Zealand;175th;175th;15.9;1.3;1.4;1.7;2.7;2.8;1.6;0.3;1.2;0.5;0.8;1.3;0.3
Iceland;177th;177th;15.2;0.3;1.8;0.3;2.7;1.7;1.5;0.4;0.6;0.2;1.6;1.8;2.3
Finland;178th;178th;14.3;1.7;1.4;0.2;2.8;1.7;1.4;0.2;0.7;0.3;1.4;1.8;0.7
Norway;179th;179th;12.7;1.1;1.1;2.8;1.1;1.7;0.4;0.2;0.7;0.2;1.1;2.0;0.3
